time,heading,speedDelta
8119,64.229418,-100
8139,62.187249,-100
8159,60.141456,-100
8179,58.124334,-100
8199,56.115542,-100
8219,54.150716,-100
8239,52.181926,-100
8259,50.235057,-100
8279,48.235250,-100
8299,46.245731,-100
8319,44.224578,-100
8339,42.234893,-100
8359,40.224080,-100
8379,38.213341,-100
8399,36.182561,-100
8419,34.181958,-100
8439,32.139750,-100
8459,30.107794,-100
8479,28.056088,-100
8499,26.047711,-100
8519,24.064171,-100
8539,22.073061,-100
8559,20.068072,-100
8579,18.106101,-100
8599,16.145508,-100
8619,14.193864,-100
8639,12.263366,-100
8659,10.293225,-100
8679,8.323084,-100
8699,6.304053,-100
8719,4.306960,-100
8739,2.324566,-100
8759,0.357663,-100
8779,-1.650331,-100
8799,-3.633722,-100
8819,-5.606732,-100
8839,-7.590696,-100
8859,-9.582489,-100
8879,-11.577205,-100
8899,-13.610306,-100
8919,-15.641591,-100
8939,-17.669993,-100
8959,-19.692385,-100
8979,-21.665559,-100
8999,-23.655385,-100
9019,-25.635292,-100
9039,-27.644023,-100
9059,-29.629805,-100
9079,-31.637089,-100
9099,-33.668413,-100
9119,-35.678757,-100
9139,-37.691696,100
9159,-39.694607,100
9179,-41.707984,100
9199,-43.686006,100
9219,-45.631065,100
9239,-47.519505,100
9259,-49.366703,100
9279,-51.176085,100
9299,-52.907347,100
9319,-54.496721,100
9339,-55.888384,100
9359,-57.088147,100
9379,-58.096037,100
9399,-58.925631,100
9419,-59.540229,100
9439,-59.977672,100
9459,-60.241045,100
9479,-60.277657,100
9499,-60.291698,100
9519,-60.313079,100
9539,-60.260919,100
9559,-60.188249,100
9579,-60.131174,100
9599,-59.983180,100
9619,-59.513001,100
9639,-58.766136,100
9659,-57.710938,100
9679,-56.287529,100
9699,-54.512715,100
9719,-52.585836,100
9739,-50.673165,100
9759,-48.768881,100
9779,-46.759565,100
9799,-44.729412,100
9819,-42.664594,100
9839,-40.641464,100
9859,-38.657717,100
9879,-36.695293,100
9899,-34.696795,100
9919,-32.724836,100
9939,-30.740271,100
9959,-28.809704,100
9979,-26.862363,100
9999,-24.937274,100
10019,-22.995614,100
10039,-21.078476,100
10059,-19.159453,100
10079,-17.253680,100
10099,-15.299548,100
10119,-13.355978,100
10139,-11.373187,100
10159,-9.404645,100
10179,-7.399656,100
10199,-5.431715,100
10219,-3.453323,100
10239,-1.467787,100
10259,0.530617,100
10279,2.485813,100
10299,4.459492,100
10319,6.394936,100
10339,8.349162,100
10359,10.292337,100
10379,12.290864,100
10399,14.297382,100
10419,16.300895,100
10439,18.282319,100
10459,20.243799,100
10479,22.188095,100
10499,24.149220,100
10519,26.111450,100
10539,28.068780,100
10559,30.001545,100
10579,31.967588,100
10599,33.940360,100
10619,35.900570,100
10639,37.848015,100
10659,39.781360,100
10679,41.748365,100
10699,43.695604,100
10719,45.675944,100
10739,47.673283,100
10759,49.697855,100
10779,51.728528,100
10799,53.758764,-100
10819,55.756365,-100
10839,57.741499,-100
10859,59.698151,-100
10879,61.633276,-100
10899,63.539352,-100
10919,65.399441,-100
10939,67.201980,-100
10959,68.927768,-100
10979,70.519259,-100
10999,71.927752,-100
11019,73.159619,-100
11039,74.225809,-100
11059,75.122547,-100
11079,75.797736,-100
11099,76.290719,-100
11119,76.607547,-100
11139,76.707150,-100
11159,76.635393,-100
11179,76.626606,-100
11199,76.602423,-100
11219,76.584054,-100
11239,76.576438,-100
11259,76.516274,-100
11279,76.337249,-100
11299,75.981681,-100
11319,74.887972,-100
11339,73.173311,-100
11359,71.218942,-100
11379,69.253844,-100
11399,67.221685,-100
11419,65.185290,-100
11439,63.115693,-100
11459,61.098474,-100
11479,59.058282,-100
11499,57.058019,-100
11519,55.026899,-100
11539,53.065468,-100
11559,51.091942,-100
11579,49.146976,-100
11599,47.134396,-100
11619,45.137392,-100
11639,43.119823,-100
11659,41.130824,-100
11679,39.105008,-100
11699,37.068985,-100
11719,35.007324,-100
11739,32.967639,-100
11759,30.959821,-100
11779,28.975117,-100
11799,26.976782,-100
11819,25.018812,-100
11839,23.054928,-100
11859,21.056496,-100
11879,19.069513,-100
11899,17.070821,-100
11919,15.082307,-100
11939,13.087743,-100
11959,11.142204,-100
11979,9.190532,-100
11999,7.241524,-100
12019,5.251958,-100
12039,3.277501,-100
12059,1.288686,-100
12079,-0.696672,-100
12099,-2.708382,-100
12119,-4.686077,-100
12139,-6.663020,-100
12159,-8.650401,-100
12179,-10.651195,-100
12199,-12.646744,-100
12219,-14.674176,-100
12239,-16.702360,-100
12259,-18.718304,-100
12279,-20.736296,-100
12299,-22.712134,-100
12319,-24.691606,-100
12339,-26.674683,-100
12359,-28.653279,-100
12379,-30.665412,-100
12399,-32.674853,-100
12419,-34.707573,-100
12439,-36.717220,-100
12459,-38.733368,100
12479,-40.730896,100
12499,-42.746143,100
12519,-44.719304,100
12539,-46.653463,100
12559,-48.540087,100
12579,-50.389097,100
12599,-52.184539,100
12619,-53.876634,100
12639,-55.423358,100
12659,-56.757009,100
12679,-57.878171,100
12699,-58.777555,100
12719,-59.498056,100
12739,-60.018724,100
12759,-60.356025,100
12779,-60.519075,100
12799,-60.484075,100
12819,-60.517681,100
12839,-60.522475,100
12859,-60.470228,100
12879,-60.400258,100
12899,-60.339414,100
12919,-60.174834,100
12939,-59.627311,100
12959,-58.679298,100
12979,-57.452705,100
12999,-55.921825,100
13019,-54.102029,100
13039,-52.178201,100
13059,-50.267657,100
13079,-48.358813,100
13099,-46.383505,100
13119,-44.378914,100
13139,-42.338819,100
13159,-40.343121,100
13179,-38.298436,100
13199,-36.310507,100
13219,-34.298417,100
13239,-32.314615,100
13259,-30.326059,100
13279,-28.373623,100
13299,-26.410572,100
13319,-24.454994,100
13339,-22.510917,100
13359,-20.593957,100
13379,-18.666832,100
13399,-16.757849,100
13419,-14.837172,100
13439,-12.921386,100
13459,-10.956122,100
13479,-8.985612,100
13499,-6.996361,100
13519,-5.040454,100
13539,-3.060628,100
13559,-1.066937,100
13579,0.907234,100
13599,2.863905,100
13619,4.830440,100
13639,6.765487,100
13659,8.731243,100
13679,10.676590,100
13699,12.650296,100
13719,14.623620,100
13739,16.624483,100
13759,18.618050,100
13779,20.624009,100
13799,22.608917,100
13819,24.577323,100
13839,26.540456,100
13859,28.500200,100
13879,30.448772,100
13899,32.394911,100
13919,34.352194,100
13939,36.334124,100
13959,38.301581,100
13979,40.251443,100
13999,42.194857,100
14019,44.152718,100
14039,46.120623,100
14059,48.084624,100
14079,50.086679,100
14099,52.080541,100
14119,54.097196,-100
14139,56.084739,-100
14159,58.077022,-100
14179,60.048318,-100
14199,61.993162,-100
14219,63.919832,-100
14239,65.813585,-100
14259,67.658977,-100
14279,69.419070,-100
14299,71.047198,-100
14319,72.478257,-100
14339,73.713801,-100
14359,74.777936,-100
14379,75.694927,-100
14399,76.399424,-100
14419,76.914385,-100
14439,77.268768,-100
14459,77.403065,-100
14479,77.320296,-100
14499,77.303170,-100
14519,77.286049,-100
14539,77.263605,-100
14559,77.261652,-100
14579,77.215273,-100
14599,77.082074,-100
14619,76.803135,-100
